location_id,location_name,city,state,country,latitude,longitude,location_type,capacity,processing_capacity,risk_baseline
LOC047,Fresno Distribution Center,Fresno,CA,US,36.7378,-119.7871,Distribution Center,27736,4197,0.5
LOC048,Tucson Sort Facility,Tucson,AZ,US,32.2226,-110.9747,Sort Facility,1854,3574,0.64
LOC049,Omaha Port,Omaha,NE,US,41.2565,-95.9345,Port,39559,1833,0.29
LOC050,Des Moines Airport,Des Moines,IA,US,41.5868,-93.625,Airport,33970,3355,0.29
LOC051,Madison Last Mile Facility,Madison,WI,US,43.0731,-89.4012,Last Mile Facility,38157,2427,0.48
LOC052,Buffalo Hub,Buffalo,NY,US,42.8864,-78.8784,Hub,1197,2030,0.75
LOC053,Rochester Distribution Center,Rochester,NY,US,43.1566,-77.6088,Distribution Center,28848,1247,0.51
LOC054,Albany Port,Albany,NY,US,42.6526,-73.7562,Port,27370,759,0.36
LOC055,Hartford Airport,Hartford,CT,US,41.7658,-72.6734,Airport,7546,1469,0.51
LOC056,Providence Warehouse,Providence,RI,US,41.824,-71.4128,Warehouse,12411,3011,0.18
LOC057,Manchester Distribution Center,Manchester,NH,US,42.9956,-71.4548,Distribution Center,20360,2059,0.41
LOC058,Portland ME Hub,Portland ME,ME,US,43.6591,-70.2568,Hub,12111,4836,0.64
LOC059,Lexington Distribution Center,Lexington,KY,US,38.0406,-84.5037,Distribution Center,40384,4161,0.66
LOC060,Knoxville Last Mile Facility,Knoxville,TN,US,35.9606,-83.9207,Last Mile Facility,47843,723,0.54
LOC061,Chattanooga Airport,Chattanooga,TN,US,35.0456,-85.3097,Airport,46936,2149,0.9
LOC062,Birmingham Sort Facility,Birmingham,AL,US,33.5186,-86.8104,Sort Facility,21932,3208,0.81
LOC063,Montgomery Last Mile Facility,Montgomery,AL,US,32.3668,-86.2999,Last Mile Facility,44016,3270,0.66
LOC064,Jackson Warehouse,Jackson,MS,US,32.2988,-90.1848,Warehouse,5499,3291,0.81
LOC065,Baton Rouge Airport,Baton Rouge,LA,US,30.4515,-91.1871,Airport,13874,1748,0.23
LOC066,New Orleans Sort Facility,New Orleans,LA,US,29.9511,-90.0715,Sort Facility,49354,3283,0.18
LOC067,Little Rock Warehouse,Little Rock,AR,US,34.7465,-92.2896,Warehouse,3200,3061,0.23
LOC068,Springfield Hub,Springfield,MO,US,37.209,-93.2923,Hub,12969,2969,0.46
LOC069,Wichita Port,Wichita,KS,US,37.6872,-97.3301,Port,47760,4167,0.67
LOC070,Topeka Distribution Center,Topeka,KS,US,39.0473,-95.6752,Distribution Center,26876,4087,0.39
LOC071,Sioux Falls Last Mile Facility,Sioux Falls,SD,US,43.546,-96.7311,Last Mile Facility,34986,4596,0.35
LOC072,Fargo Airport,Fargo,ND,US,46.8772,-96.7898,Airport,42914,4665,0.31
LOC073,Billings Sort Facility,Billings,MT,US,45.7833,-108.5007,Sort Facility,15373,3536,0.49
LOC074,Boise Warehouse,Boise,ID,US,43.615,-116.2023,Warehouse,31746,325,0.38
LOC075,Spokane Distribution Center,Spokane,WA,US,47.6588,-117.426,Distribution Center,40790,1059,0.79
